                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.58081,                0.41378,                0.83598,                0.80302,                0.56642,                0.74665,                 0.6215,                0.59325,                0.55688,                0.84706,               8.17e-05,               8.17e-05,               8.17e-05
                     37,                0.58637,                 0.4091,                0.83359,                0.82374,                0.62108,                0.75398,                0.63214,                0.59662,                0.52977,                 0.8459,              7.675e-05,              7.675e-05,              7.675e-05
                     38,                0.58624,                0.40649,                0.83703,                0.73185,                0.70225,                0.74182,                0.62408,                0.60165,                0.55024,                0.84956,               7.18e-05,               7.18e-05,               7.18e-05
                     39,                0.57556,                  0.398,                 0.8337,                0.73665,                0.63456,                 0.7407,                0.62802,                0.59004,                0.54699,                0.84566,              6.685e-05,              6.685e-05,              6.685e-05
                     40,                0.57497,                0.40069,                0.83406,                 0.7413,                 0.6278,                0.73134,                0.61675,                0.58621,                0.55196,                0.84124,               6.19e-05,               6.19e-05,               6.19e-05
                     41,                0.55031,                0.36839,                0.82382,                0.79088,                  0.545,                0.71124,                0.60633,                0.59424,                0.59801,                0.84399,              5.695e-05,              5.695e-05,              5.695e-05
                     42,                0.54609,                0.35806,                0.82059,                0.82517,                0.54663,                0.72289,                0.61606,                0.58868,                 0.5913,                0.84279,                5.2e-05,                5.2e-05,                5.2e-05
                     43,                0.53679,                0.35391,                0.82062,                0.63825,                0.67749,                0.74804,                0.63371,                0.59498,                0.59603,                0.84268,              4.705e-05,              4.705e-05,              4.705e-05
                     44,                0.53352,                0.34929,                0.81851,                0.82257,                0.55764,                0.74888,                0.63063,                 0.5839,                0.55686,                0.84264,               4.21e-05,               4.21e-05,               4.21e-05
                     45,                0.53134,                0.34444,                0.81849,                0.77806,                0.59718,                0.73905,                0.62239,                 0.5848,                0.56175,                0.84482,              3.715e-05,              3.715e-05,              3.715e-05
                     46,                0.52276,                0.34194,                0.81512,                0.77025,                0.65821,                0.73421,                0.62171,                0.58926,                0.57291,                0.84477,               3.22e-05,               3.22e-05,               3.22e-05
                     47,                0.51888,                  0.338,                0.81367,                0.76791,                0.63509,                0.73536,                0.62655,                0.58359,                0.59435,                 0.8428,              2.725e-05,              2.725e-05,              2.725e-05
                     48,                0.51956,                0.33585,                0.81558,                0.79725,                0.57343,                0.73321,                0.62506,                0.57966,                0.58221,                0.84143,               2.23e-05,               2.23e-05,               2.23e-05
                     49,                0.51314,                0.33323,                0.81562,                 0.7846,                0.58517,                 0.7271,                0.61937,                0.58031,                0.59096,                0.84271,              1.735e-05,              1.735e-05,              1.735e-05
                     50,                0.51291,                 0.3311,                0.81254,                 0.7923,                0.58465,                0.73959,                 0.6301,                0.57744,                 0.5769,                0.84175,               1.24e-05,               1.24e-05,               1.24e-05
